,title,link,text
0,Brassóban előzné vissza a Fradit a Sportklub,http://www.jegkorongblog.hu/2018/11/01/bra-scc-0-0-2/#post-259520,"A harmadik fogadja a másodikat, utoljára 2016 januárjában nyertek Erste Liga-alapszakaszmeccset a Corona otthonában a csíkiak. A legázolt Gyergyó után a Brassó következik a Csíkszereda számára, ezúttal idegenben lépnek pályára Becze Tihamérék. Az amúgy is hatalmas presztízzsel rendelkező erdélyi rangadó értékét növeli, hogy a hazaiak a harmadik, a vendégek a második helyen állnak a magyar bázisú bajnokságban. Pontszámban valamivel nagyobb a különbség, a Sportklub 45, a Brassó 36 egységet gyűjtött. A Csíkszereda túl van egy kisebb hullámvölgyön, Pesterzsébeten, majd hazai pályán a Debrecentől kaptak ki, ráadásul ezen a két találkozón egyetlen árva gólt sem sikerült lőniük. Hétfőn aztán a Gyergyószentmiklós ellen minden bement, ami addig nem, valósággal kiütötték ellenfelüket, a szezon legnagyobb gólkülönbségű mérkőzésén nyertek 9-0-ra. A terv hasonló lesz a Corona ellen is, de ehhez a hazaiaknak is lesz egy-két szavuk. 
Fotó: László F. Csaba / Hargita Népe Annál inkább, mert ők jó szériát futnak, zsinórban három győztes meccsen vannak túl, és utóbbi nyolc összecsapásukból is csak egyet veszítettek el, miközben 19 pontot szereztek. E győzelmek közül a legértékesebb az UTE elleni idegenbeli 5-2-es diadal lehetett, amikor mind az öt góljukat más-más csatár lőtte. A Szereda lehengerlően játszott a szezon első másfél hónapjában, ám a legutóbbi néhány alkalommal akadtak gondjai, a Brassó viszont mostanra szedte össze magát. Az erőviszonyok még nem tűntek ennyire kiegyenlítettnek köztük az Erste Liga idei kiírásában, mint most. Az első egymás elleni rangadójukon végképp nem, hiszen akkor fél óra alatt ötöt vágott a Szereda, és 6-1-re nyert. Érdekesség, hogy azzal sikerrel állt a liga élére a Sportklub, amit a legutóbbi fordulókig tartott is. Az újabb egymás elleni meccsük tétje is az első hely megszerzése az egyik oldalon – a csíkiak egy győzelemmel visszaelőzhetik az FTC-Telekomot –, míg a Brassó számára itt az alkalom a visszavágásra, illetve arra, hogy faragjanak a csíkiak előnyéből. Hozó Levente (másodedző, Sportklub Csíkszereda): “Nem áll szándékunkban változtatni a felálláson, és remélhetőleg nem jön semmi közbe, hogy ezen elképzelésünk meghiúsuljon. Ugyanazt a játékot és felfogást szeretnénk viszontlátni a srácoktól, amit hétfőn. Önbizalmat adott az a meccs, hiszen végre gólokat lőttünk, míg hátul nagyon jól zártunk, és első kapott találat nélküli meccset tudtunk le.”"
1,Így ütött egy hátrányban két gólt a Kings,http://www.jegkorongblog.hu/2018/11/04/ket-golt-utott-egy-hatranyban-a-kings/#post-259976,"Anze Kopitar és Dustin Brown 59 másodperc különbséggel talált be. 17 éve nem volt erre példa a Los Angelestől. A Los Angeles–Columbus találkozó harmadik harmadában 2-1-es hazai vezetésnél a vendégek emberelőnybe kerültek, így esélyük volt az egyenlítésre. A Kings speciális alakulata azonban remekül játszott: először Kopitar lőtt gólt Brown átadásából, egy perccel később pedig maga a kapitány jutott büntetőlövéshez, amit könnyedén értékesített. A Los Angeles 2001. március 19-én lőtt két gólt egy emberhátrány alatt. Akkor Zigmund Palffy és Bryan Smolinski talált be 15 másodperces különbséggel a Phoneix ellen 6-2-re megnyert mérkőzésen."
2,Történelmi nyolcas után várja a Titánokat az SC,http://www.jegkorongblog.hu/2018/11/04/sc-csikszereda-fehervari-titanok-6/#post-259957,"A csíkiak még soha nem kaptak ki ennyire a Brassótól, ami alighanem felpaprikázza őket következő Erste Liga-mérkőzésükre. Ha az archívumok nem hibáznak, akkor történelmi vereséget szenvedett csütörtökön a Csíkszereda. Olyan volt már, hogy a Brassó legyőzte őket, de olyan, hogy 8-at üssön nekik, soha. Sem a román bajnokságban, sem a kupában, sem a MOL, majd Erste Ligában. Ezúttal megtörtént ez is, fájóan súlyos eredmény született brassói csarnokban. A Titánok elleni vasárnapi mérkőzés így alighanem a szurkolók kiengesztelése és az önbizalom helyreállítása jegyében fog telni a Vákárban. Volt már ilyen a közelmúltban, a Ferencváros és a DEAC ellen 0-ra elveszített mérkőzéseket követően 9 gólt lőttek a Gyergyónak, miközben egyet sem kaptak. Hogy mi lehet az oka a kék-fehérek szélsőségesen hullámzó teljesítményének, azt alighanem mindenki keresi-kutatja a szakmai stábban. A szezont rendkívül magabiztosan kezdő, sokáig a mezőnyt is vezető Szereda a legutóbbi négy meccséből hármat is elvesztett így. A támadójáték a győztes meccseken frenetikus, a védekezés viszont sok kívánnivalót hagy maga után, meccsenként jóval több, mint három gólt kapnak. Ráadásul a fegyelemmel is bajok vannak, sok a kiállítás is. A vendég Fehérvári Titánok aligha szeretnék az áldozati bárány szerepét eljátszani a drukkereket kárpótolni igyekvő Csíkszeredával szemben. Erre a törekvésükre feljogosítja őket, hogy a Brassó vendégeként sikerült helytállniuk, kemény, harcos csapatot alkottak, a Coronának nagyon meg kellett küzdenie a győzelemért, amelyet végül büntetőkkel szerzett meg. A fehérvári fiatalok a gyergyóiakkal együtt amolyan átmeneti csapatot alkotnak a mezőny eleje és vége között. Mindenkit képesek legyőzni, de mindenkitől képesek kikapni is. Kiss Dávid vezetőedző legfontosabb feladata minden bizonnyal az, hogy segítsen a játékosoknak átmenteniük a brassói formát vasárnap estére. Lényeges lenne, hogy góllövésben is legyen, aki fel tud zárkózni Lewis és Kiss Patrik mellé. Bár a csapat jobban áll ezen a téren, mint a Vienna, a Hokiklub, a Vasas és a Gyergyó, ősi fehérvári szokás szerint a speciális játékokban van mit javulnia, az emberelőnyökben a negyedik legrosszabb, emberhátrányok kivédekezésében a mezőny legrosszabb teljesítménye az övé. Ha azonban sikerül összeszedetten, kevés kiállítással játszaniuk, akár meg is lephetik a Csíkszeredát. "
3,Bolzanóban jobbat akar nyújtani a Fehérvár,http://www.jegkorongblog.hu/2018/11/04/bolzano-fehervar-av19-10/#post-259907,"Két nagyszerű győzelem után kikapott a Fehérvár AV19 Innsbruckban, vasárnap pedig máris egy még keményebb ellenfél vár rá. Összességében sima vereséget szenvedett szombat este a magyar EBEL-csapat, aminek fő oka a gyenge első harmad és a totálisan eredménytelen emberelőnyös játék lehetett. Hiába játszottak rendkívül fegyelmezetlenül a vendéglátók, és kaptak nem kevesebb, mint kilenc kisbüntetést, ezek közül egyetlen egyet sem sikerült kihasználniuk Sofronéknak. Meccs utáni értékelésében természetesen kitért erre Hannu Järvenpää vezetőedző is: „Az Innsbruck átgázolt rajtunk az első harmadban. A második játékrészben sok lehetőségünk volt, de nem tudtuk ezeket gólra váltani. A harmadik harmadban a védőpárjaink nem dolgoztak jól, így már nem volt esélyünk. Az utóbbi mérkőzéseinken nem működött az emberelőnyös játékunk, ezt ismét elemezni fogom. Az este pozitívuma, hogy mindössze egy kiállításunk volt, illetve az, hogy a negyedik a legjobban teljesítő csatársorunk volt. Vasárnap Bolzanóban játszunk, ahol nemcsak én, hanem az egész csapat jobb játékot vár, és úgy gondolom, jobb teljesítményt is fogunk nyújtani.” Erre szükség is lesz, hiszen míg az Innsbruck tabellaszomszéd volt a 8–9. helyen – az 1-5-ös mérkőzés góljai ide kattintva megtekinthetők –, addig a címvédő Bolzano az idén is az élcsapatok közé tartozik. Ezt az első körben Fehérváron is bizonyította, október 20-án 5-2-vel vitte el onnan a 3 pontot. A dél-tiroliak jelenleg a 3–4. helyen állnak az összesűrűsödött élmezőnyben, holtversenyben a szezon elején összevissza bukdácsoló Salzburggal, és már csak 2 pont a hátrányuk a listavezető Vienna Capitalsszal szemben. A hosszú időn át veretlen bécsiek 4 meccs óta tartó hullámvölgye teljesen összerántotta ezt a régiót, nekik 35 pontjuk van, a második Graznak 34, az említett duónak 33-33. Ezzel együtt a dél-tiroliak teljesítménye is hektikus az utóbbi időben, hiszen miközben a Viennát legyőzték, a Medvescaktól kikaptak, a Red Bull pedig pontosan egy héttel ezelőtt 8-at vágott nekik saját pályájukon. Ez némiképp felébreszthette őket, azóta két győzelmet arattak, a Bécs és a Linz kárára. Hogy vasárnap 17 órától melyik arcukat mutatják majd, nem tudni, de azt igen, hogy szokás szerint elsősorban legjobb légiósaikra kell figyelni: Michael Blunden 12+10 ponttal áll a kanadai táblázaton – ez a ligában a második legjobb mutató –, míg Brett Findlay 19 gólpassznál tart. Lényegében biztosra vehető az is, hogy hátul sokkal összeszedettebben kell teljesítenie a Volánnak, mint szombaton, de azzal a játékkal, amit a Vienna vagy a Klagenfurt ellen mutattak Stipsiczék, nyilván nem lennének esélytelenek Bolzanóban sem.  Fotó: Soós Attila (Fehérvár AV19)"
4,Egyre szebb és jobb hokit játszanak a Titánok,http://www.jegkorongblog.hu/2018/10/30/avs-hkb-nyilatkozatok-2/#post-259126,"Ha ilyen tempóban fejlődnek tovább a fehérváriak, akkor csak idő kérdése, hogy mikor zárkóznak fel az élmezőnyhöz. A Fehérvári Titánok lassan kezdték a bajnokságot, de azóta alaposan rákapcsoltak, mindenképpen érdemes a fiatalok meccseire is kilátogatniuk a szurkolóknak. A védelemmel még akadnak gondok, de a támadójáték kezd összeállni a megyeszékhelyen. Tizenöt meccsen van túl a csapat, az első 8 találkozón 17 gólt szereztek, a Hokiklub Budapest ellen oda-vissza nyertek, és hosszabbítás után elvették az UTE skalpját is, ami szenzáció volt, de a 7 ponttal nem lehettek elégedettek. Aztán három hete valami radikálisan megváltozott. Az azóta lejátszott hét mérkőzésen 39 gólt lőtt a csapat, amivel 13 pontot tett hozzá az addigi héthez. Kiss Dávid tehát jó munkát végez, és ha az egész szezonban ennyit fejlődik a csapat, akkor merészebb álmokat is dédelgethetnek. A tudatosságot jelzi az emberelőnyös játék minősége. Sokáig ez volt az a játékelem, ami a legkevésbé ment a fiataloknak, a vezetőedző több alkalommal elmondta, külön foglalkoznak a fórok kihasználásával. Ezt minden edző meg szokta említeni, Kiss Dávid abban különbözik, hogy nem eredménytelenül gyakoroltak, a Brassó ellen három, az UTE-val szemben öt előnygólt szereztek, érdemes lesz tehát külön is odafigyelniük erre az aktuális ellenfeleknek. Ahogy a csapat fiataljaira is. A légiós Jack Lewis mellett ugyanis ketten is pont/meccs fölött teljesítenek közülük, a 20 éves Kiss Patrik 10+10-zel áll, az alig 19 esztendős Mihály Ákos pedig 4+12-vel, és vannak még mások is, akik közelítenek hozzájuk. A Titánok hétfői ellenfele az a Hokiklub Budapest lesz, amely október közepén valósággal fellángolt, legyőzte a Vienna Capitals II-t és a Schiller-Vasas HC-t is, majd az UTE-tól mindössze egy-, a listavezető Sportklubtól kétgólos vereséget szenvedett. Minden jel arra utalt, hogy ők is megérkeztek a ligába, de rögvest ezután a Brassótól 7, a DAB-tól 8 gólt kaptak. Utóbbi meccsen bő két és fél perc alatt hagyták fordítani a négy gólt szerző ellenfelet, ami mindennél jobban jelzi, hogy sebezhető a védelem. A Titánokból mindazonáltal felkészültek lehetnek, hiszen idén már harmadszorra futnak össze. Fehérváron hosszabbításig mentek, Budapesten viszont rendes játékidőben nyertek a fehérváriak. Hétfőn este fél hétkor kezdenek a csapatok az Ifj. Ocskay Gábor Jégcsarnokban, győzelemmel két pontra közelítenék meg a hatodik helyen álló Dunaújvárost a hazaiak, míg a vendégek a Vienna Capitals II-vel szemben tudnának jelentőset javítani a pozíciójukon. "
5,A DEAC felzárkózhat a Brassóra,http://www.jegkorongblog.hu/2018/11/04/deac-vienna-capitals-ii/#post-259952,"Ehhez rendes játékidős győzelem kell a debrecenieknek az idegenben szívós bécsiekkel szemben. Remekül megy a DEAC-nak az Erste Ligában. A fekete-fehér-arany színű alakulat 18 mérkőzést követően a táblázat negyedik helyén áll, de a vesztett pontokat tekintve harmadik. Hátránya a jelenleg bronzérmes pozícióban álló Brassóhoz képest 4 pont – de 3 meccsel kevesebből. Mivel a Brassó vasárnap csak a romániai bajnokságban érdekelt, a debreceniek egy hárompontos győzelemmel a nyakukra mászhatnak. Ez annál inkább megvalósíthatónak tűnik, mert az ellenfél a mezőny végéhez tartozó Vienna Capitals-farm lesz. A feladat papíron egyszerűnek tűnik, de alighanem élénken él még a debreceni játékosokban és szurkolókban a Vasas elleni hazai pontvesztés a nyitó fordulóban. Akkor a DEAC közel ötven percig üldözte a fővárosi fiatalokat, mire ki tudott egyenlíteni, és a győzelemért járó második pontot csak a hosszabbításban sikerült megszereznie. A DEAC nem büszkélkedhet túlzottan jó sorsolással eddig, kiscsapatok ellen csak négy meccset játszott, ezeken a már említett Vasast nem számítva rendes játékidőben győzött, de általában nem túl simán. A vasárnapi ellenfél, a Vienna Capitals II az eddigiek során inkább idegenben volt eredményes, mint otthon. Bécstől távol 8, Bécsben 3 pontot szereztek. A nagyobb gólkülönbségű vereségek is inkább hazai pályán jöttek, Bécsben –25, idegenben –10 a gólkülönbségük úgy, hogy csak eggyel többször játszottak otthon. Ha ezúttal is ragaszkodnak e szokásukhoz, akkor lelkes, sokat korcsolyázó, hajtós, szívós csapat vár a debreceniekre, amely nem fogja olcsón adni a bőrét. Annál inkább, mert alig több, mint két hete, kettejük bécsi összecsapásán is megnehezítették a DEAC életét, amikor a harmadik harmad elejére háromgólos hátrányból egyre felzárkóztak. Legutóbb idegenben az éllovas Ferencváros ellen játszottak. Akkor a zöldek megtapasztalhatták, hogy nem lehet egy pillanatig sem lazítani ellenük. A Capitals-farm egyik problémája, hogy amikor a juniorcsapat is játszik, akkor kevés játékossal tudnak kiállni. Ez bizonyára ezúttal is így lesz, az U20-asok Bécsben meccselnek vasárnap, így Debrecenbe nagyjából három sorral utazhat el Santeri Heiskanen vezetőedző."
6,Folytatnák a száguldást a ligaelső zöld-fehérek,http://www.jegkorongblog.hu/2018/11/03/ftc-vas-nyilatkozatok/#post-259863,"Az Erste Liga-első FTC-Telekom 15 mérkőzés óta nem kapott ki, és pénteken a ligautolsó Schiller-Vasas HC-t fogadja. A jubileumi hokiderbi előtti összecsapás ugyanakkor megmutatta, hogy ha nem százszázalékos egy csapat koncentrációja, akkor hiába erős, az alsóházhoz tartozó ellenfelek is meg tudhatják lepni. Ráadásul egy meccsen belül kétszer is sikerült elveszíteni a fókuszt akkor a Vienna Capitals II ellen: a 25. percben megszerezték a vezetést a vendégek, aztán Braden Walls góljával és Tóth Adrián klasszikus mesterhármasával helyreállt a világ rendje. A játékosok legalábbis ezt gondolhatták a másnapi derbi lázában égve. A bécsiek azonban újítottak, és szűk öt perc alatt három góllal egyenlítettek. A Fradi végül Pavuk Attila találatával tudott nyerni a végjátékban. Ez minden bizonnyal jó lecke volt Fodor Szabolcs csapatának. A koncentráció megtartása azért is fontos, mert a csapat 15 meccs óta nem talált legyőzőre, ilyen szériára pedig a magyar bázisú bajnokság tízéves történetében sincs sok példa. J. P. MacCallum első teljes évében a DAB egyszer kapott ki a Miskolctól hosszabbításban a tizedik fordulóban, az azelőtti 9 és az azt követő 14 meccs mindegyikét behúzta. Pechükre a 14. meccs után véget ért az alapszakasz. Ez a 2009/10-es szezonban történt, utána hat évet kellett várni a következő hasonlóra, amikor a MAC Budapest nem talált legyőzőre 2015. november 15. és 2016. január 3. között, 16 meccsen maradt veretlen ekkor. Az FTC-Telekom most a harmadik fordulóban kapott ki utoljára, Csíkszeredában 6-6 után büntetőkkel vitték el a pluszpontot a hazaiak. 
Fotó: Dobos Attila A hosszú ideje nyeretlen Vasasnak nem lesz tehát könnyű dolga a legjobb formában lévő csapat otthonában. A Fradi egyszerre képes sok gólt lőni és keveset kapni, gólkülönbsége +41. A Schiller-Vasasnál fordított a helyzet: Ladányi Balázs csapata összesen lőtt 26 gólt, miközben 76-ot kapott, és továbbra is első rendes játékidős győzelmére hajt. Az igazsághoz persze hozzátartozik, hogy ők légiós mezőnyjátékos nélkül, magyar fiatalokkal vágtak bele az Erste Liga-kalandba, érdemes tehát megelőlegezni nekik a bizalmat és a türelmet. Egyszer már játszottak a Fradi ellen, az 55. perc legelején még egyenlő volt az állás, akkor egy emberelőnyös gólt lőtt az FTC, majd üres kapura is betalált, ezzel nyert 3-1-re. A meccs után mindkét edző arról beszélt, hogy a fantasztikus kapusteljesítmény, a fegyelmezett védekezés és a rengeteg korcsolyázás volt a Vasas sokáig eredményes játékának kulcsa. A recept tehát adott, de a megvalósítás sokkal nehezebb feladatnak ígérkezik."
7,Mindent ki fognak adni magukból a Jegesmedvék,http://www.jegkorongblog.hu/2018/11/02/mis-pop-0-0/#post-259740,"Az érsekújvári bravúr után hasonló DVTK-teljesítményre lenne szükség a HK Poprad ellen is. Lévén, hogy már a második kör második felénél tartunk az Extraligában, mindenki játszott mindenkivel legalább egyszer, és ez a DVTK Jegesmedvék–HK Poprad párra is érvényes. A tabella jelenlegi örödikjével napra pontosan egy hónapja, október 2-án találkoztak a miskolciak idegenben – akkor is közvetlenül egy MHC Nové Zámky elleni győzelmet követően –, és szoros csatában sikerült pontot lopniuk. Bár a tátraiak megnyerték az első harmadot, majd a második után is vezettek még, a harmadikban azonban egyenlített Magosi Bálint, így a pluszpont sorsáról a túlóra döntött, sajnos nem a magyar csapat javára. Az igazsághoz tartozik, hogy ezzel a meccsel kezdődött a Jegesmedvék hosszú vereségsorozata, amely ugyanakkor már a múlté. Legutóbbi négy találkozójukból kettőt nyertek a piros-fehérek, és még egy alkalommal pontot szereztek, csak a Liptószentmiklós elleni hazai találkozójuk képe nem nyerhette el híveik tetszését. Ám ezt igen nagy mértékben kompenzálta a szerdai érsekújvári 3-0, vagyis elmondható, hogy lendületben lévő DVTK fogadja az amúgy igen acélos Poprádot. A HK nyilván nem lesz könnyű falat, és nem csupán azért, mert ott véd Tomas Vsvorda, a liga aktuálisan legjobb kapusa, aki 11 mérkőzésen 95,5%-kal fogott eddig. A Poprád utóbbi öt meccséből négyet behúzott, csak a Kassától kapott ki, ezenközben a Zsolnának hetet lőtt, a Gyetvát meg 4-0-val küldte haza tegnapelőtt. Másrészt arról, hogy nem verhetetlen gárdáról van szó, magyar jégkorongozók is tudnának mesélni: a MAC Újbuda 3-2-re felülmúlta őket október 16-án a Tüskecsarnokban. “Az elmúlt négy mérkőzésünkön háromszor is pontot vagy pontokat tudtunk szerezni, tehát eredményességben javuló tendenciát mutatunk – mondta Glen Hanlon vezetőedző a klub hivatalos honlapjának. – Legutóbb láthattuk, hogy a védekezésünk is tud stabilan működni. Erre nagy szükségünk lesz a HK Poprad ellen is, hiszen közel hármas gólátlaggal rendelkeznek, és mérkőzésenként 38-szor találják el a kaput. Azt várom el a játékosaimtól, hogy pénteken és vasárnap is mindent kiadjanak magukból, és teljes erőbedobással játsszanak. Amennyiben ez így lesz, úgy tiszta lelkiismerettel mehetünk el a pár napos pihenőnkre a válogatott szünetben.” Ha már a vasárnap szóba került: akkor Besztercebányán vendégszerepelnek a miskolciak. De előbb jöjjön a Poprád: a 17:30-kor kezdődő összecsapást a Digi Sport élőben közvetíti.  Fotó: dvtk.eu"
8,Folytatnák a száguldást a ligaelső zöld-fehérek,http://www.jegkorongblog.hu/2018/11/02/ftc-telekom-schiller-vasas-hc/#post-259511,"Az Erste Liga-első FTC-Telekom 15 mérkőzés óta nem kapott ki, és pénteken a ligautolsó Schiller-Vasas HC-t fogadja. A jubileumi hokiderbi előtti összecsapás ugyanakkor megmutatta, hogy ha nem százszázalékos egy csapat koncentrációja, akkor hiába erős, az alsóházhoz tartozó ellenfelek is meg tudhatják lepni. Ráadásul egy meccsen belül kétszer is sikerült elveszíteni a fókuszt akkor a Vienna Capitals II ellen: a 25. percben megszerezték a vezetést a vendégek, aztán Braden Walls góljával és Tóth Adrián klasszikus mesterhármasával helyreállt a világ rendje. A játékosok legalábbis ezt gondolhatták a másnapi derbi lázában égve. A bécsiek azonban újítottak, és szűk öt perc alatt három góllal egyenlítettek. A Fradi végül Pavuk Attila találatával tudott nyerni a végjátékban. Ez minden bizonnyal jó lecke volt Fodor Szabolcs csapatának. A koncentráció megtartása azért is fontos, mert a csapat 15 meccs óta nem talált legyőzőre, ilyen szériára pedig a magyar bázisú bajnokság tízéves történetében sincs sok példa. J. P. MacCallum első teljes évében a DAB egyszer kapott ki a Miskolctól hosszabbításban a tizedik fordulóban, az azelőtti 9 és az azt követő 14 meccs mindegyikét behúzta. Pechükre a 14. meccs után véget ért az alapszakasz. Ez a 2009/10-es szezonban történt, utána hat évet kellett várni a következő hasonlóra, amikor a MAC Budapest nem talált legyőzőre 2015. november 15. és 2016. január 3. között, 16 meccsen maradt veretlen ekkor. Az FTC-Telekom most a harmadik fordulóban kapott ki utoljára, Csíkszeredában 6-6 után büntetőkkel vitték el a pluszpontot a hazaiak. 
Fotó: Dobos Attila A hosszú ideje nyeretlen Vasasnak nem lesz tehát könnyű dolga a legjobb formában lévő csapat otthonában. A Fradi egyszerre képes sok gólt lőni és keveset kapni, gólkülönbsége +41. A Schiller-Vasasnál fordított a helyzet: Ladányi Balázs csapata összesen lőtt 26 gólt, miközben 76-ot kapott, és továbbra is első rendes játékidős győzelmére hajt. Az igazsághoz persze hozzátartozik, hogy ők légiós mezőnyjátékos nélkül, magyar fiatalokkal vágtak bele az Erste Liga-kalandba, érdemes tehát megelőlegezni nekik a bizalmat és a türelmet. Egyszer már játszottak a Fradi ellen, az 55. perc legelején még egyenlő volt az állás, akkor egy emberelőnyös gólt lőtt az FTC, majd üres kapura is betalált, ezzel nyert 3-1-re. A meccs után mindkét edző arról beszélt, hogy a fantasztikus kapusteljesítmény, a fegyelmezett védekezés és a rengeteg korcsolyázás volt a Vasas sokáig eredményes játékának kulcsa. A recept tehát adott, de a megvalósítás sokkal nehezebb feladatnak ígérkezik."
9,Mindent ki fognak adni magukból a Jegesmedvék,http://www.jegkorongblog.hu/2018/11/03/mis-pop-nyilatkozatok/#post-259791,"Az érsekújvári bravúr után hasonló DVTK-teljesítményre lenne szükség a HK Poprad ellen is. Lévén, hogy már a második kör második felénél tartunk az Extraligában, mindenki játszott mindenkivel legalább egyszer, és ez a DVTK Jegesmedvék–HK Poprad párra is érvényes. A tabella jelenlegi örödikjével napra pontosan egy hónapja, október 2-án találkoztak a miskolciak idegenben – akkor is közvetlenül egy MHC Nové Zámky elleni győzelmet követően –, és szoros csatában sikerült pontot lopniuk. Bár a tátraiak megnyerték az első harmadot, majd a második után is vezettek még, a harmadikban azonban egyenlített Magosi Bálint, így a pluszpont sorsáról a túlóra döntött, sajnos nem a magyar csapat javára. Az igazsághoz tartozik, hogy ezzel a meccsel kezdődött a Jegesmedvék hosszú vereségsorozata, amely ugyanakkor már a múlté. Legutóbbi négy találkozójukból kettőt nyertek a piros-fehérek, és még egy alkalommal pontot szereztek, csak a Liptószentmiklós elleni hazai találkozójuk képe nem nyerhette el híveik tetszését. Ám ezt igen nagy mértékben kompenzálta a szerdai érsekújvári 3-0, vagyis elmondható, hogy lendületben lévő DVTK fogadja az amúgy igen acélos Poprádot. A HK nyilván nem lesz könnyű falat, és nem csupán azért, mert ott véd Tomas Vsvorda, a liga aktuálisan legjobb kapusa, aki 11 mérkőzésen 95,5%-kal fogott eddig. A Poprád utóbbi öt meccséből négyet behúzott, csak a Kassától kapott ki, ezenközben a Zsolnának hetet lőtt, a Gyetvát meg 4-0-val küldte haza tegnapelőtt. Másrészt arról, hogy nem verhetetlen gárdáról van szó, magyar jégkorongozók is tudnának mesélni: a MAC Újbuda 3-2-re felülmúlta őket október 16-án a Tüskecsarnokban. “Az elmúlt négy mérkőzésünkön háromszor is pontot vagy pontokat tudtunk szerezni, tehát eredményességben javuló tendenciát mutatunk – mondta Glen Hanlon vezetőedző a klub hivatalos honlapjának. – Legutóbb láthattuk, hogy a védekezésünk is tud stabilan működni. Erre nagy szükségünk lesz a HK Poprad ellen is, hiszen közel hármas gólátlaggal rendelkeznek, és mérkőzésenként 38-szor találják el a kaput. Azt várom el a játékosaimtól, hogy pénteken és vasárnap is mindent kiadjanak magukból, és teljes erőbedobással játsszanak. Amennyiben ez így lesz, úgy tiszta lelkiismerettel mehetünk el a pár napos pihenőnkre a válogatott szünetben.” Ha már a vasárnap szóba került: akkor Besztercebányán vendégszerepelnek a miskolciak. De előbb jöjjön a Poprád: a 17:30-kor kezdődő összecsapást a Digi Sport élőben közvetíti.  Fotó: dvtk.eu"
